Name,Date,Opening Price,Closing Price
Apple,2024-11-11,225.0,224.23
Apple,2024-11-12,224.55,224.23
Apple,2024-11-13,224.01,225.12
Apple,2024-11-14,225.02,228.22
Apple,2024-11-15,226.4,225.0
Apple,2024-11-18,225.25,228.02
Apple,2024-11-19,226.98,228.28
Apple,2024-11-20,228.06,229.0
Apple,2024-11-21,228.88,228.52
Apple,2024-11-22,228.06,229.87
Apple,2024-11-25,231.46,232.87
Apple,2024-11-26,233.33,235.06
Apple,2024-11-27,234.47,234.93
Apple,2024-11-29,234.81,237.33
Apple,2024-12-02,237.27,239.59
Apple,2024-12-03,239.81,242.65
Apple,2024-12-04,242.87,243.01
Apple,2024-12-05,243.99,243.04
Apple,2024-12-06,242.91,242.84
Apple,2024-12-09,241.83,246.75
Apple,2024-12-10,246.89,247.77
Apple,2024-12-11,247.96,246.49
Apple,2024-12-12,246.89,247.96
Apple,2024-12-13,247.82,248.13
Apple,2024-12-16,247.99,251.04
Apple,2024-12-17,250.08,253.48
Apple,2024-12-18,252.16,248.05
Apple,2024-12-19,247.5,249.79
Apple,2024-12-20,248.04,254.49
Apple,2024-12-23,254.77,255.27
Apple,2024-12-24,255.49,258.2
Apple,2024-12-26,258.19,259.02
Apple,2024-12-27,257.83,255.59
Apple,2024-12-30,252.23,252.2
Apple,2024-12-31,252.44,250.42
Apple,2025-01-02,248.93,243.85
Apple,2025-01-03,243.36,243.36
Apple,2025-01-06,244.31,245.0
Apple,2025-01-07,242.98,242.21
Apple,2025-01-08,241.92,242.7
Apple,2025-01-10,240.01,236.85
Apple,2025-01-13,233.53,234.4
Apple,2025-01-14,234.75,233.28
Apple,2025-01-15,234.64,237.87
Apple,2025-01-16,237.35,228.26
Apple,2025-01-17,232.12,229.98
Apple,2025-01-21,224.0,222.64
Apple,2025-01-22,219.79,223.83
Apple,2025-01-23,224.74,223.66
Apple,2025-01-24,224.78,222.78
Apple,2025-01-27,224.02,229.86
Apple,2025-01-28,230.85,238.26
Apple,2025-01-29,234.12,239.36
Apple,2025-01-30,238.67,237.59
Apple,2025-01-31,247.19,236.0
Apple,2025-02-03,229.99,228.01
Apple,2025-02-04,227.25,232.8
Apple,2025-02-05,228.53,232.47
Apple,2025-02-06,231.29,233.22
Apple,2025-02-07,232.6,227.63
Apple,2025-02-10,229.57,227.65
Apple,2025-02-11,228.2,232.62
Apple,2025-02-12,231.2,236.87
Apple,2025-02-13,236.91,241.53
Apple,2025-02-14,241.25,244.6
Apple,2025-02-18,244.15,244.47
Apple,2025-02-19,244.66,244.87
Apple,2025-02-20,244.94,245.83
Apple,2025-02-21,245.95,245.55
Apple,2025-02-24,244.93,247.1
Apple,2025-02-25,248.0,247.04
Apple,2025-02-26,244.33,240.36
Apple,2025-02-27,239.41,237.3
Apple,2025-02-28,236.95,241.84
Apple,2025-03-03,241.79,238.03
Apple,2025-03-04,237.71,235.93
Apple,2025-03-05,235.42,235.74
Apple,2025-03-06,234.44,235.33
Apple,2025-03-07,235.11,239.07
Apple,2025-03-10,235.54,227.48
Apple,2025-03-11,223.81,220.84
Apple,2025-03-12,220.14,216.98
Apple,2025-03-13,215.95,209.68
Apple,2025-03-14,211.25,213.49
Apple,2025-03-17,213.31,214.0
Apple,2025-03-18,214.16,212.69
Apple,2025-03-19,214.22,215.24
Apple,2025-03-20,213.99,214.1
Apple,2025-03-21,211.56,218.27
Apple,2025-03-24,221.0,220.73
Apple,2025-03-25,220.77,223.75
Apple,2025-03-26,223.51,221.53
Apple,2025-03-27,221.39,223.85
